 ,Label,Area1,Mean1,Min1,Max1,X1,Y1,IntDen1,%Area1,RawIntDen1,MinThr1,MaxThr1,Area2,Mean2,Min2,Max2,X2,Y2,IntDen2,%Area2,RawIntDen2,MinThr2,MaxThr2,Area3,Mean3,Min3,Max3,X3,Y3,IntDen3,%Area3,RawIntDen3,MinThr3,MaxThr3,Area4,Mean4,Min4,Max4,X4,Y4,IntDen4,%Area4,RawIntDen4,MinThr4,MaxThr4
1,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,28.354,-2.635E-14,268.000,382.500,180.500,274492.000,100,274492.000,-3.403E38,3.4e38,9681,25.075,-2.920E-14,224.000,255.500,392.500,242748.156,100,242748.156,-3.403E38,3.4e38,9681,27.974,-2.385E-14,223.755,166.500,317.500,270811.562,100,270811.562,-3.403E38,3.4e38,9681,33.056,-3.799E-14,267.000,120.500,210.500,320013.188,100,320013.188,-3.403E38,3.4e38
2,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,30.129,4.498E-15,153.514,382.500,180.500,291682.594,100,291682.594,-3.403E38,3.4e38,9681,25.588,-3.104E-15,187.941,255.500,392.500,247712.703,100,247712.703,-3.403E38,3.4e38,9681,30.846,2.371E-15,154.881,166.500,317.500,298622.750,100,298622.750,-3.403E38,3.4e38,9681,35.864,-1.618E-15,256.879,120.500,210.500,347198.625,100,347198.625,-3.403E38,3.4e38
3,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,28.830,1.620E-15,128.060,382.500,180.500,279106.344,100,279106.344,-3.403E38,3.4e38,9681,25.945,2.342E-15,170.042,255.500,392.500,251173.766,100,251173.766,-3.403E38,3.4e38,9681,30.208,-5.849E-16,179.206,166.500,317.500,292446.625,100,292446.625,-3.403E38,3.4e38,9681,33.498,-1.602E-16,282.253,120.500,210.500,324290.875,100,324290.875,-3.403E38,3.4e38
4,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,28.955,6.163E-15,192.813,382.500,180.500,280308.906,100,280308.906,-3.403E38,3.4e38,9681,25.494,-2.410E-15,144.480,255.500,392.500,246803.688,100,246803.688,-3.403E38,3.4e38,9681,29.627,-2.133E-15,174.467,166.500,317.500,286818.594,100,286818.594,-3.403E38,3.4e38,9681,35.075,-2.773E-14,216.003,120.500,210.500,339565.875,100,339565.875,-3.403E38,3.4e38
5,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,29.371,2.148E-15,142.837,382.500,180.500,284342.625,100,284342.625,-3.403E38,3.4e38,9681,26.447,4.252E-16,167.160,255.500,392.500,256037.344,100,256037.344,-3.403E38,3.4e38,9681,30.579,-4.080E-15,201.985,166.500,317.500,296038.812,100,296038.812,-3.403E38,3.4e38,9681,32.821,-1.617E-15,209.268,120.500,210.500,317744.688,100,317744.688,-3.403E38,3.4e38
6,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,28.434,2.410E-15,196.535,382.500,180.500,275271.188,100,275271.188,-3.403E38,3.4e38,9681,25.768,-1.913E-15,165.348,255.500,392.500,249457.266,100,249457.266,-3.403E38,3.4e38,9681,27.514,-2.519E-15,204.596,166.500,317.500,266364.375,100,266364.375,-3.403E38,3.4e38,9681,34.048,1.214E-15,171.096,120.500,210.500,329614.938,100,329614.938,-3.403E38,3.4e38
7,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,27.752,-1.855E-15,182.266,382.500,180.500,268665.875,100,268665.875,-3.403E38,3.4e38,9681,25.857,-4.006E-15,171.918,255.500,392.500,250320.359,100,250320.359,-3.403E38,3.4e38,9681,28.997,1.424E-15,182.428,166.500,317.500,280716.156,100,280716.156,-3.403E38,3.4e38,9681,32.278,1.194E-15,251.321,120.500,210.500,312487.406,100,312487.406,-3.403E38,3.4e38
8,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,27.760,-3.085E-15,152.178,382.500,180.500,268740.594,100,268740.594,-3.403E38,3.4e38,9681,25.084,-5.971E-15,196.302,255.500,392.500,242839.703,100,242839.703,-3.403E38,3.4e38,9681,29.243,-8.356E-16,170.738,166.500,317.500,283103.969,100,283103.969,-3.403E38,3.4e38,9681,34.705,1.689E-15,197.899,120.500,210.500,335982.500,100,335982.500,-3.403E38,3.4e38
9,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,28.296,-7.662E-16,225.356,382.500,180.500,273930.625,100,273930.625,-3.403E38,3.4e38,9681,26.520,5.683E-15,164.276,255.500,392.500,256736.375,100,256736.375,-3.403E38,3.4e38,9681,29.601,6.014E-16,210.862,166.500,317.500,286570.531,100,286570.531,-3.403E38,3.4e38,9681,33.389,5.459E-16,254.573,120.500,210.500,323242.312,100,323242.312,-3.403E38,3.4e38
10,C2-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,28.771,1.120E-15,148.769,382.500,180.500,278534.906,100,278534.906,-3.403E38,3.4e38,9681,26.255,-1.330E-15,201.693,255.500,392.500,254177.688,100,254177.688,-3.403E38,3.4e38,9681,30.346,4.592E-15,188.355,166.500,317.500,293777.969,100,293777.969,-3.403E38,3.4e38,9681,35.332,-2.406E-15,227.955,120.500,210.500,342053.531,100,342053.531,-3.403E38,3.4e38
