 ,Label,Area1,Mean1,Min1,Max1,X1,Y1,IntDen1,%Area1,RawIntDen1,MinThr1,MaxThr1,Area2,Mean2,Min2,Max2,X2,Y2,IntDen2,%Area2,RawIntDen2,MinThr2,MaxThr2,Area3,Mean3,Min3,Max3,X3,Y3,IntDen3,%Area3,RawIntDen3,MinThr3,MaxThr3,Area4,Mean4,Min4,Max4,X4,Y4,IntDen4,%Area4,RawIntDen4,MinThr4,MaxThr4
1,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,44.459,0,330.000,382.500,180.500,430404.000,74.166,430404.000,-3.403E38,3.4e38,9681,88.607,0,951.000,255.500,392.500,857802.938,87.078,857802.938,-3.403E38,3.4e38,9681,65.009,0,544.000,166.500,317.500,629353.188,84.330,629353.188,-3.403E38,3.4e38,9681,62.103,0,841.000,120.500,210.500,601222.312,86.778,601222.312,-3.403E38,3.4e38
2,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,44.055,0,281.442,382.500,180.500,426496.750,99.607,426496.750,-3.403E38,3.4e38,9681,89.205,0,948.967,255.500,392.500,863595.625,99.638,863595.625,-3.403E38,3.4e38,9681,65.920,0,398.715,166.500,317.500,638168.000,99.783,638168.000,-3.403E38,3.4e38,9681,60.476,0,589.486,120.500,210.500,585465.562,99.762,585465.562,-3.403E38,3.4e38
3,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,43.515,0,343.713,382.500,180.500,421268.594,99.597,421268.594,-3.403E38,3.4e38,9681,86.820,0,940.954,255.500,392.500,840507.875,99.587,840507.875,-3.403E38,3.4e38,9681,66.592,0,517.062,166.500,317.500,644674.625,99.711,644674.625,-3.403E38,3.4e38,9681,59.020,0,911.831,120.500,210.500,571376.062,99.762,571376.062,-3.403E38,3.4e38
4,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,47.772,0,300.510,382.500,180.500,462482.750,99.762,462482.750,-3.403E38,3.4e38,9681,90.480,0,949.614,255.500,392.500,875941.062,99.700,875941.062,-3.403E38,3.4e38,9681,66.764,0,471.731,166.500,317.500,646345.250,99.783,646345.250,-3.403E38,3.4e38,9681,62.756,0,676.073,120.500,210.500,607541.875,99.876,607541.875,-3.403E38,3.4e38
5,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,45.658,0,288.021,382.500,180.500,442014.688,99.700,442014.688,-3.403E38,3.4e38,9681,87.996,0,938.083,255.500,392.500,851887.625,99.700,851887.625,-3.403E38,3.4e38,9681,68.179,0,428.651,166.500,317.500,660042.000,99.690,660042.000,-3.403E38,3.4e38,9681,60.530,0,714.413,120.500,210.500,585995.625,99.690,585995.625,-3.403E38,3.4e38
6,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,44.297,0,244.015,382.500,180.500,428839.938,99.669,428839.938,-3.403E38,3.4e38,9681,90.740,0,938.719,255.500,392.500,878458.125,99.607,878458.125,-3.403E38,3.4e38,9681,69.510,0,394.331,166.500,317.500,672924.750,99.762,672924.750,-3.403E38,3.4e38,9681,61.235,0,746.096,120.500,210.500,592816.875,99.752,592816.875,-3.403E38,3.4e38
7,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,47.306,0,340.331,382.500,180.500,457965.719,99.721,457965.719,-3.403E38,3.4e38,9681,88.548,0,941.199,255.500,392.500,857228.562,99.742,857228.562,-3.403E38,3.4e38,9681,66.570,0,495.601,166.500,317.500,644460.125,99.773,644460.125,-3.403E38,3.4e38,9681,62.620,0,662.747,120.500,210.500,606225.750,99.793,606225.750,-3.403E38,3.4e38
8,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,43.453,0,294.664,382.500,180.500,420669.062,99.566,420669.062,-3.403E38,3.4e38,9681,89.930,0,916.368,255.500,392.500,870614.375,99.752,870614.375,-3.403E38,3.4e38,9681,65.190,0,428.358,166.500,317.500,631105.688,99.752,631105.688,-3.403E38,3.4e38,9681,55.699,0,712.051,120.500,210.500,539225.062,99.566,539225.062,-3.403E38,3.4e38
9,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,45.695,0,278.326,382.500,180.500,442371.062,99.628,442371.062,-3.403E38,3.4e38,9681,87.108,0,943.923,255.500,392.500,843294.562,99.680,843294.562,-3.403E38,3.4e38,9681,67.872,0,520.632,166.500,317.500,657066.625,99.804,657066.625,-3.403E38,3.4e38,9681,61.265,0,774.693,120.500,210.500,593102.875,99.731,593102.875,-3.403E38,3.4e38
10,C1-Mesh_4.15.26_multisite_glutamate_40ulfaprox_0086_registered.tif,9681,45.299,0,250.321,382.500,180.500,438542.250,99.721,438542.250,-3.403E38,3.4e38,9681,89.225,0,948.874,255.500,392.500,863784.500,99.700,863784.500,-3.403E38,3.4e38,9681,65.929,0,457.680,166.500,317.500,638254.375,99.690,638254.375,-3.403E38,3.4e38,9681,60.908,0,883.470,120.500,210.500,589654.125,99.762,589654.125,-3.403E38,3.4e38
